	 Frequency Table 
 
Symbols 	 Frequency 	 Frequence Percent
	I	 	 	197	 	 	9.85%
	E	 	 	192	 	 	9.6%
	T	 	 	161	 	 	8.05%
	O	 	 	157	 	 	7.85%
	A	 	 	148	 	 	7.4%
	N	 	 	147	 	 	7.35%
	S	 	 	121	 	 	6.05%
	H	 	 	95	 	 	4.75%
	R	 	 	95	 	 	4.75%
	C	 	 	90	 	 	4.5%
	L	 	 	84	 	 	4.2%
	F	 	 	71	 	 	3.55%
	M	 	 	70	 	 	3.5%
	D	 	 	64	 	 	3.2%
	P	 	 	57	 	 	2.85%
	U	 	 	52	 	 	2.6%
	B	 	 	46	 	 	2.3%
	G	 	 	41	 	 	2.05%
	Y	 	 	37	 	 	1.85%
	W	 	 	24	 	 	1.2%
	V	 	 	17	 	 	0.85%
	K	 	 	10	 	 	0.5%
	X	 	 	10	 	 	0.5%
	Q	 	 	3	 	 	0.15%
	0	 	 	3	 	 	0.15%
	Z	 	 	2	 	 	0.1%
	1	 	 	2	 	 	0.1%
	2	 	 	2	 	 	0.1%
	J	 	 	1	 	 	0.05%
	5	 	 	1	 	 	0.05%

 
	 Huffman Code table 
 
Symbols 	 Huffman Code 	 Code Length 
	I	 	 	010	 	 	 	3
	E	 	 	001	 	 	 	3
	T	 	 	1110	 	 	4
	O	 	 	1101	 	 	4
	A	 	 	1011	 	 	4
	N	 	 	1010	 	 	4
	S	 	 	0111	 	 	4
	H	 	 	0000	 	 	4
	R	 	 	0001	 	 	4
	C	 	 	11111	 	 	5
	L	 	 	11001	 	 	5
	F	 	 	11000	 	 	5
	M	 	 	10011	 	 	5
	D	 	 	10001	 	 	5
	P	 	 	10000	 	 	5
	U	 	 	01101	 	 	5
	B	 	 	01100	 	 	5
	G	 	 	111100	 	 	6
	Y	 	 	100101	 	 	6
	W	 	 	1111011	 	 	7
	V	 	 	1001001	 	 	7
	K	 	 	11110100	 	8
	X	 	 	11110101	 	8
	Q	 	 	100100000	 	9
	0	 	 	100100001	 	9
	Z	 	 	1001000100	 	10
	1	 	 	1001000110	 	10
	2	 	 	1001000111	 	10
	J	 	 	10010001010	 	11
	5	 	 	10010001011	 	11

Total number of bits: 8584
